,party,chlab,chbus,chmaj,chrep,chsafe,chfrosh,chprest,chvotrec,inlead
73,2,-1000,5377,1,0,0.547351360321045,-1,1,12.4106216430664,0
74,2,0,19000,1,0,0,0,0,8.12052917480469,0
75,1,8650,-29225,-1,0,0,-1,-1,1.53217697143555,0
76,2,14650,23434,1,0,0.403796672821045,0,0,11.7466773986816,0
77,1,-38500,34151,-1,0,0.0400066375732422,-1,0,4.44330978393555,0
78,2,6500,46617,1,0,0,-1,1,12.4106216430664,0
79,2,1000,1539,1,0,0.0822362899780273,0,0,12.3595504760742,0
80,1,20400,81,-1,0,0.42648458480835,-1,0,3.21756649017334,0
81,2,-2500,-11779,1,0,0.280553340911865,-1,1,15.9857025146484,0
82,1,46700,20323,-1,0,0.0380744934082031,-1,0,7.45658874511719,0
83,2,8150,91948,1,0,0.179517269134521,-1,1,20.0715026855469,0
84,2,3000,87825,1,0,0.135532855987549,-1,1,13.3809967041016,0
85,1,-46595,-164960,-1,0,-0.042536735534668,0,0,-3.9836573600769,0
86,2,3500,271662,1,0,0.105507850646973,0,0,21.2972412109375,0
87,1,-2550,147011,0,1,-0.0222415924072266,-1,0,12.1552619934082,0
88,1,73077,40643,-1,0,-0.108328819274902,-1,0,1.12359619140625,0
89,1,153350,30784,-1,0,-0.3138427734375,0,0,6.9458646774292,0
90,1,29988,4382,-1,0,-0.0301074981689453,0,0,5.36261463165283,0
91,2,-500,78232,1,0,0.171063899993896,-1,0,11.0827407836914,0
92,1,-4250,18118,-1,0,-0.08843994140625,-1,0,0.357509613037109,0
93,1,19700,-12935,-1,0,-0.159409523010254,0,0,4.29009246826172,0
94,1,-15400,-10663,-1,0,-0.0307893753051758,-1,0,-2.45148086547852,0
95,2,1000,140092,1,0,0.144411563873291,0,0,18.7436180114746,0
96,2,7250,256609,1,0,0.1136794090271,0,0,0.970375061035156,0
97,1,-11750,-6750,-1,0,-0.0793685913085938,0,0,6.23084688186646,0
98,2,6000,64849,1,0,0.151347637176514,0,0,12.0020408630371,0
99,1,-11100,-35200,-1,0,-0.0776829719543457,0,0,-0.204292297363281,0
100,2,2000,65468,1,0,0.0673174858093262,0,0,8.52910614013672,0
101,2,13050,165808,1,0,0.127214908599854,0,0,20.2247161865234,0
102,2,2500,107763,1,0,0.137501239776611,0,0,14.0960235595703,0
103,2,-500,8965,1,0,0.238763332366943,-1,0,11.8488235473633,0
104,1,123025,32800,-1,0,-0.0972387790679932,0,0,1.43002986907959,0
105,1,0,0,-1,0,-0.169068813323975,0,0,0.408576965332031,0
106,1,6150,1720,-1,0,-0.206756591796875,0,0,9.19305229187012,0
107,1,14750,11284,-1,0,-0.0401730537414551,0,0,9.49948883056641,0
108,2,1000,-40989,1,0,0.331180572509766,-1,0,11.89990234375,0
109,2,5000,68141,1,0,0.0653090476989746,0,0,5.31154632568359,0
110,1,112825,101837,-1,0,-0.292011260986328,0,0,8.52911376953125,0
111,2,0,-500,1,0,-0.110620975494385,0,0,9.75485229492188,0
112,2,300,8015,1,0,0.108250141143799,0,1,14.4535217285156,0
113,2,0,63229,1,0,0.187454223632812,0,0,17.9775238037109,0
114,2,8900,279,1,0,0.374431133270264,0,0,19.1011276245117,0
115,1,80800,109250,-1,0,-0.0311069488525391,-1,0,11.8998985290527,0
116,2,22900,402109,1,0,0,0,0,18.0285949707031,0
117,1,-3100,-118400,-1,0,0,0,-1,4.74974250793457,0
118,1,-6250,69946,0,1,0,0,0,14.4024505615234,0
119,2,1000,95162,1,0,0.461733818054199,0,0,20.8886566162109,0
120,2,1000,29600,1,0,0,0,0,10.6230850219727,0
121,2,-2500,-5154,1,0,0.272175550460815,0,0,12.1552581787109,0
122,1,35050,11223,-1,0,-0.0351366996765137,0,0,9.49949073791504,0
123,1,-18394,-9871,-1,0,-0.00217056274414062,-1,0,3.3197135925293,0
124,1,22067,-169658,-1,0,0.0724649429321289,0,0,6.17977523803711,0
125,2,-1000,-3835,1,0,0.196702480316162,-1,0,7.04800415039062,0
126,2,9799,11632,1,0,-0.0314435958862305,0,0,11.1848831176758,0
127,1,59327,12700,-1,0,0.611327648162842,0,-1,5.72012233734131,0
128,1,-16923,-32361,-1,0,-0.0221033096313477,0,0,3.31971549987793,0
129,2,14300,43093,1,0,0.0380527973175049,-1,0,9.19305419921875,0
130,1,23452,45840,-1,0,0.327102184295654,0,0,11.5423908233643,0
131,1,0,-1850,-1,0,0.182851314544678,-1,0,0.153217315673828,0
132,2,-1000,-550,1,0,-0.0638742446899414,-1,0,5.87334442138672,0
133,1,27,550,-1,0,-0.069392204284668,0,0,2.4004077911377,0
134,1,102879,-5393,-1,0,0,0,0,3.3197135925293,0
135,1,-19198,-95609,-1,0,-0.0904316902160645,0,0,4.34116554260254,0
136,1,-121273,-11328,-1,0,0.0393376350402832,-1,0,0.306436538696289,0
137,2,0,0,1,0,0.167022705078125,-1,0,14.1981658935547,0
138,2,2750,27555,1,0,0.143754482269287,0,0,12.5127639770508,0
139,1,-10200,-43391,-1,0,0.0935072898864746,-1,0,1.43003082275391,0
140,2,1250,32398,1,0,0.182966232299805,0,0,9.9080696105957,0
141,2,0,275,1,0,-0.402674198150635,-1,0,9.3973388671875,0
142,1,-66401,-73072,-1,0,-0.0445301532745361,0,0,1.78753852844238,0
143,1,103202,-52663,-1,0,0.132317543029785,0,-1,2.8600606918335,0
144,2,-500,18044,1,0,0.159196853637695,-1,1,6.28192138671875,0
145,1,-10755,-63443,-1,0,-0.0149805545806885,0,0,1.48110198974609,0
146,1,-85850,-79491,-1,0,-0.00875139236450195,0,0,-4.03472900390625,0
147,1,-41300,-26002,-1,0,0.038482666015625,0,0,-1.48110234737396,0
148,1,-19690,143215,-1,0,-0.12063455581665,0,0,-0.817159652709961,0
149,1,-16573,6795,-1,0,0.067629337310791,-1,0,0.561798095703125,0
150,2,8500,121924,1,0,0.113432884216309,0,1,10.0102157592773,0
151,1,69079,65455,-1,0,-0.0748815536499023,0,0,2.50255489349365,0
