candname,party,chLab,chbus,chmaj,chdem,chsafe,chfrosh,chprest,chvotrec,inlead
Darrell Issa (R),R,4935,-37766.75,-1,0,0.004170101,0,0,6.5,0
Brad Miller (D),D,-71992.5,-39039.35,1,0,0.017469358,-1,0,0,0
Bobby L Rush (D),D,-35913.11,-54337.975,1,0,-0.002059652,0,0,-2.5,0
Bill Delahunt (D),D,-49951.575,-55963.25,1,0,0.008894982,0,0,-0.400000006,0
Sue Myrick (R),R,0,-57348.9,-1,0,-0.011784483,0,0,1.700000048,0
John Linder (R),R,0,-64298.575,-1,0,0,0,0,3.700000048,0
Rodney Alexander (R),R,-2765,-64432.45,-1,0,0,-1,-1,0,0
John M Spratt Jr (D),D,0,-66540.1,1,0,-0.022211073,0,0,0.899999976,0
Jim Gerlach (R),R,-8248,-78763.396,-1,0,-0.001508817,-1,0,0,0
Jeffrey Lane Fortenberry (R),R,-13319.5,-81504.5,-1,0,0.009808372,-1,0,0,0
Geoff Davis (R),R,-11201.175,-88856.662,-1,0,-0.003859147,-1,0,0,0
Cliff Stearns (R),R,0,-93340.238,-1,0,-0.015829748,0,0,2.099999905,0
Don Manzullo (R),R,3826.5,-98277.803,-1,0,-0.008602728,0,0,0.600000024,0
Spencer Bachus (R),R,-925,-100934.475,-1,0,0,0,0,1.299999952,0
Tom Price (R),R,3085,-130991.418,-1,0,0,-1,0,0,0
F James Sensenbrenner Jr (R),R,0,-140085.2,-1,0,-0.014291537,0,0,4.300000191,0
Roy Blunt (R),R,-20841,-142311.293,-1,0,-0.007537262,0,0,1.5,0
Nathan Deal (R),R,0,-157326.35,-1,0,0.006728265,0,0,7.099999905,0
"Pearce, Stevan",R,0,-171586.676,-1,0,0,0,0,0,0
Don Young (R),R,-26740.5,-196448.399,-1,0,-0.056751315,0,0,1.799999952,0
Jerry Lewis (R),R,-31540.5,-222448.957,-1,0,0,0,0,1.899999976,0
"Jefferson, William J.",D,0,-222699.45,1,,,,,,
Melissa Bean (D),D,-43876.785,-228375.446,1,0,0.007957153,0,0,0,0
David Dreier (R),R,-2312.5,-263817.81,-1,0,0.016752791,0,0,0.300000012,0
Kenny Hulshof (R),R,-1726,-271479,-1,0,0,0,0,0,0
Joe Barton (R),R,2036,-273975.762,-1,0,-0.016462915,0,0,1,0
