candname,party,chLab,chbus,chmaj,chdem,chsafe,chfrosh,chprest,chvotrec,inlead
Anthony D Weiner (D),D,21468.625,42461,1,0,0,0,0,-0.800000012,0
Walter B Jones Jr (R),R,30382.5,41946.425,-1,0,-0.0064042,0,0,-3.200000048,0
Robert A Brady (D),D,35153.454,41443,1,0,0,0,0,-1.600000024,0
Jim Cooper (D),D,14272.025,40316.875,1,0,0.006006524,-1,0,1.100000024,0
Charles W Boustany Jr (R),R,9038,40310.24,-1,0,0.054522499,-1,0,0,0
Emanuel Cleaver (D),D,-31627.4,40287.499,1,0,0.034700621,-1,0,0,0
Edolphus Towns (D),D,-2172.5,39555.653,1,0,0.003417965,0,0,-0.899999976,0
Mike Honda (D),D,17293.4,39475.75,1,0,0.00092125,0,1,0,0
Hilda L Solis (D),D,3505.75,39121.125,1,0,0,0,0,0,0
Jeff Miller (R),R,0,38988.225,-1,0,-0.023997752,0,0,-0.5,0
Carolyn McCarthy (D),D,-33395.75,38331.067,1,0,0.006670236,0,0,1,0
Dale E Kildee (D),D,37586.85,38036.023,1,0,0.018483832,0,0,-0.300000012,0
Ric Keller (R),R,7403.5,37996.575,-1,0,-0.026454156,0,0,0,0
Lucille Roybal-Allard (D),D,5210.7,37797.968,1,0,0.006620187,0,1,-1.5,0
Jan Schakowsky (D),D,10956.265,37601.297,1,0,-0.003339898,0,0,-0.800000012,0
Gwen Moore (D),D,10958.2,37476.073,1,0,0.000947108,-1,0,0,0
Linda Sanchez (D),D,7691.5,36972.483,1,0,0.017750811,-1,0,0,0
Rush Holt (D),D,-6060.875,36574.075,1,0,0.020119824,0,0,2.299999952,0
Steven A King (R),R,0,36203.25,-1,0,-0.003947312,-1,0,0,0
Rodney Frelinghuysen (R),R,0,36052.237,-1,0,-0.018999927,0,0,2.900000095,0
Raul M Grijalva (D),D,23748.14,35032.513,1,0,-0.005025715,-1,0,0,0
Jose E Serrano (D),D,39624,34375.25,1,0,0.000226042,0,0,0.200000003,0
Doris O Matsui (D),D,-78755.75,33751.25,1,0,-0.000858586,0,-1,0,0
Mac Thornberry (R),R,987,33370.081,-1,0,0,0,0,2.299999952,0
John F Tierney (D),D,21134.925,33310.75,1,0,-0.000796403,0,0,-0.100000001,0
Robert E Andrews (D),D,51646.575,31970.096,1,0,0,0,0,2.900000095,0
Elton Gallegly (R),R,1142,31095.089,-1,0,-0.010001493,0,0,1.399999976,0
Danny K Davis (D),D,10956.89,30826.223,1,0,0.001437281,0,0,-0.800000012,0
Trent Franks (R),R,987,30183.954,-1,0,-0.001778793,-1,0,0,0
David Wu (D),D,-13065.9,30158.65,1,0,0.017207332,0,0,0,0
Steven C LaTourette (R),R,16428.5,28874.575,-1,0,0,0,0,0,0
Gary Ackerman (D),D,8575.5,28634.25,1,0,0,0,0,-0.699999988,0
Stephanie Herseth Sandlin (D),D,-37569,28144.688,1,0,0.057951901,-1,0,0,0
Adam Schiff (D),D,-25269.3,28038.924,1,0,0.005733179,0,0,0.800000012,0
Adrian Smith (R),R,987,27015.031,-1,0,0,0,0,0,0
Timothy V Johnson (R),R,-3158,26937.039,-1,0,-0.01268322,0,0,6.900000095,0
Nita M Lowey (D),D,8431.25,26745.1,1,0,0.002937658,0,0,-0.400000006,0
Lynn Woolsey (D),D,-5417.15,26187.55,1,0,0.000727898,0,0,2.799999952,0
Stephen F Lynch (D),D,27594.663,25173.926,1,0,0,0,0,0,0
Melvin L Watt (D),D,-28960,25127.997,1,0,0.000589478,0,0,-1.299999952,0
Dana Rohrabacher (R),R,493.5,24698.9,-1,0,-0.012440273,0,0,2.5,0
Dan Lungren (R),R,-1387.5,24422.425,-1,0,-0.009951518,-1,0,3.200000048,0
Dan Burton (R),R,7402.5,23548.47,-1,0,-0.018962104,0,0,0.800000012,0
Bob Filner (D),D,-42040,22978.214,1,0,0.017694332,0,0,0.200000003,0
Thelma Drake (R),R,152207.145,22460.735,-1,0,-0.015183889,-1,0,0,0
Peter Hoekstra (R),R,-11712.5,22392.45,-1,0,-0.008679966,0,0,1.399999976,0
Jeb Hensarling (R),R,493.5,21643.163,-1,0,-0.009305925,-1,0,0,0
Mary Bono Mack (R),R,17890,21586.871,-1,0,-0.020302191,0,0,2.400000095,0
Patrick McHenry (R),R,-925,21411.65,-1,0,-0.008103726,-1,0,0,0
Maxine Waters (D),D,-13878.5,21409.929,1,0,0,0,0,-0.600000024,0
Eliot L Engel (D),D,-19023,21189.675,1,0,-0.003300094,0,0,-1.200000048,0
Kevin McCarthy (R),R,0,19905.644,-1,0,0,0,0,0,0
Marsha Blackburn (R),R,0,19587.25,-1,0,0,-1,0,0,0
Kathy Castor (D),D,6282.55,19160.225,1,0,0,0,0,0,0
Howard Coble (R),R,-1232.5,17788.25,-1,0,-0.007005279,0,0,2.099999905,0
